Export from 影音宝 - 听你想听的，看你想看的
爱尔达体育1,rtmp://59.124.75.138/sat/md011#rtmp://59.124.75.157/sat/md011
爱尔达体育2,rtmp://59.124.75.138/sat/md051#rtmp://59.124.75.157/sat/md051
爱尔达体育3,rtmp://59.124.75.138/sat/md021#rtmp://59.124.75.157/sat/md021
澳门有线 CH1,http://61.244.22.4/ch1/ch1.live/playelist.m3u8
澳门有线 CH2,http://61.244.22.4/ch2/ch2.live/playelist.m3u8
澳门有线 CH3,http://61.244.22.4/ch3/ch3.live/playelist.m3u8
澳门有线互动新闻,http://202.175.127.77/live/show/ch2/index.m3u8
八大第一,http://220.134.196.147:8929/http/116.50.42.18:8088/hls/66/808/ch22.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
八大戏剧,http://220.134.196.147:8928/http/116.50.42.18:8081/hls/66/808/ch23.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
八大综合,http://220.134.196.147:8927/http/116.50.42.18:8088/hls/66/808/ch21.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
博斯运动I,http://220.134.196.147:8964/http/116.50.42.18:8066/hls/210/10018/cstv18.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
大爱1台,http://220.134.196.147:8907/http/116.50.42.18:8088/hls/73/815/ch52.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
大爱2台,http://220.134.196.147:8947/http/116.50.42.18:8081/hls/75/817/ch60.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
大立电视台,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
东风卫视,http://220.134.196.147:8921/http/116.50.42.18:8081/hls/68/810/ch31.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
东森财经,http://220.134.196.147:8908/http/116.50.42.18:8081/hls/63/805/ch11.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
东森财经新闻,rtmp://59.124.75.138/sat/tv571#rtmp://59.124.75.157/sat/tv571
东森财经新闻台,http://seb.sason.top/sc/dscjxw_fhd.m3u8
东森超视,http://220.134.196.147:8972/http/116.50.42.18:8081/hls/64/806/ch14.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
东森戏剧,http://220.134.196.147:8930/http/116.50.42.18:8081/hls/64/806/ch13.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
东森新闻,http://220.134.196.147:8902/http/116.50.42.18:8081/hls/63/805/ch10.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
东森新闻台,http://seb.sason.top/sc/dsxw_fhd.m3u8
东森幼幼,http://220.134.196.147:8925/http/116.50.42.18:8088/hls/63/805/ch09.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
东森综合,http://220.134.196.147:8924/http/116.50.42.18:8081/hls/63/805/ch12.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
动物星球,http://220.134.196.147:8922/http/116.50.42.18:8088/hls/70/812/ch37.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
非凡商业,http://220.134.196.147:8930/http/116.50.42.18:8088/hls/74/816/ch56.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
非凡新闻,http://220.134.196.147:8906/http/116.50.42.18:8088/hls/75/817/ch57.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
凤凰资讯,http://117.169.120.138:8080/live/fhzixun/.m3u8#http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
公视,http://220.134.196.147:8906/http/116.50.42.18:8088/hls/73/815/ch50.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
国家地理,http://220.134.196.147:8919/http/116.50.42.18:8088/hls/61/803/ch01.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
国兴卫视,http://220.134.196.147:8975/http/116.50.42.18:8081/hls/64/806/ch15.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
好莱坞电影,http://220.134.196.147:8954/http/116.50.42.18:8081/hls/74/816/ch55.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
华视,http://220.134.196.147:8913/http/116.50.42.18:8088/hls/72/814/ch48.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d#rtmp://59.124.75.157/sat/tv111#rtmp://59.124.75.138/sat/tv111
华视新闻,http://220.134.196.147:8906/http/116.50.42.18:8088/hls/75/817/ch58.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d#http://220.134.196.147:8906/http/116.50.42.18:8081/hls/61/803/ch03.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
寰宇新闻,http://220.134.196.147:8909/http/116.50.42.18:8088/hls/76/818/ch62.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d#http://220.134.196.147:8909/http/116.50.42.18:8066/hls/210/10016/cstv16.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
龙华电影,http://220.134.196.147:8956/http/116.50.42.18:8066/hls/210/10014/cstv14.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
